timestamp,cpu_percent,memory_percent,latency_ms,requests_per_sec
2024-01-01 00:00:00,45.2,62.1,12.5,1250
2024-01-01 01:00:00,42.8,61.8,11.2,1180
2024-01-01 02:00:00,38.5,60.5,10.8,980
2024-01-01 03:00:00,35.2,59.2,9.5,750
2024-01-01 04:00:00,32.1,58.8,8.9,620
2024-01-01 05:00:00,31.5,58.5,8.5,580
2024-01-01 06:00:00,38.9,60.2,10.2,890
2024-01-01 07:00:00,52.3,65.1,15.8,1450
2024-01-01 08:00:00,68.5,72.3,22.1,2100
2024-01-01 09:00:00,78.2,78.5,28.5,2580
2024-01-01 10:00:00,82.1,80.2,32.1,2750
2024-01-01 11:00:00,85.5,82.1,35.8,2890
2024-01-01 12:00:00,79.8,79.5,30.2,2650
2024-01-01 13:00:00,82.5,81.2,33.5,2780
2024-01-01 14:00:00,88.2,84.5,42.1,2950
2024-01-01 15:00:00,92.5,86.8,125.5,3100
2024-01-01 16:00:00,78.5,78.2,28.9,2580
2024-01-01 17:00:00,72.1,74.5,24.5,2350
2024-01-01 18:00:00,65.8,70.2,20.8,2050
2024-01-01 19:00:00,58.2,67.5,18.2,1780
2024-01-01 20:00:00,52.5,64.8,15.5,1520
2024-01-01 21:00:00,48.8,63.2,13.8,1380
2024-01-01 22:00:00,45.2,62.1,12.2,1280
2024-01-01 23:00:00,43.5,61.5,11.5,1200
