curie,label,retrieved_at
HP:0000635,Blue irides,2025-10-19T07:20:41.173634
HP:0007730,Iris hypopigmentation,2025-10-19T07:20:41.174220
HP:0001100,Heterochromia iridis,2025-10-19T07:20:41.174712
HP:0002286,Fair hair,2025-10-19T07:20:41.175189
HP:0002297,Red hair,2025-10-19T07:20:41.175508
HP:0002216,Premature graying of hair,2025-10-19T07:20:41.175726
HP:0011364,White hair,2025-10-19T07:20:41.176165
HP:0012834,Right,2025-10-19T07:20:45.386359
HP:0012835,Left,2025-10-19T07:20:45.386714
HP:0012832,Bilateral,2025-10-19T07:20:45.386935
HP:0012833,Unilateral,2025-10-19T07:20:45.387119
HP:0030674,Antenatal onset,2025-10-19T07:20:45.388395
HP:0011460,Embryonal onset,2025-10-19T07:20:45.388758
HP:0011461,Fetal onset,2025-10-19T07:20:45.388956
HP:0003577,Congenital onset,2025-10-19T07:20:45.389356
HP:0003623,Neonatal onset,2025-10-19T07:20:45.389647
HP:0003593,Infantile onset,2025-10-19T07:20:45.389812
HP:0011463,Childhood onset,2025-10-19T07:20:45.389976
HP:0003621,Juvenile onset,2025-10-19T07:20:45.390136
HP:0011462,Young adult onset,2025-10-19T07:20:45.390297
HP:0003596,Middle age onset,2025-10-19T07:20:45.390462
HP:0003584,Late onset,2025-10-19T07:20:45.390622
HP:0012825,Mild,2025-10-19T07:20:50.622288
HP:0012826,Moderate,2025-10-19T07:20:50.622619
HP:0012828,Severe,2025-10-19T07:20:50.622889
