id,split,V,A,D,text
SemEval_1155,train,3.36,3.0,3.27,Microsoft to release next generation phone
The_Black_Willow_11596_11663,train,2.7,3.0,2.8,"Allan crouched over his desk once more, pen in hand and mind blank."
113CWL018_952_1022,train,3.9,3.1,3.4,Your contribution last year of helped us get where we are today.
detroit_12208_12263,train,3.1,3.0,3.1,"Did we build sane, sustainable, survival shelter homes?"
SemEval_763,train,2.86,3.0,2.86,Secret hotels in Irish countryside
SemEval_597,train,3.12,3.12,3.12,Stenson defends his title at Dubai
Anti-Terrorist_4031_4279,test,2.92,3.0,2.91,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups."
116CUL034_796_978,train,3.2,3.0,3.5,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils."
Ant_Robot_19422_19434,test,3.0,2.78,3.0,The Behavior
Nathans_Bylichka_15318_15334,train,3.56,3.0,3.22,"“Thanks, Dvorov."
Nathans_Bylichka_45926_45965,train,2.6,3.4,3.1,"Isis collapsed on the fur, strings cut."
How_soon-Lebron-James_2193_2304,train,2.7,3.3,2.9,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?"
wsj_2465_4206_4287,train,3.0,3.14,3.14,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.
NYTnewswire7_3260_3393,test,3.0,3.0,3.12,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that."""
blog-new-year's-resolutions_1573_1737,train,3.1,3.3,3.2,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.
Nathans_Bylichka_29483_29506,train,3.0,3.4,3.4,"“Roll up your sleeves,”"
Uprooted_Farming-on-Sand_3238_3353,train,3.14,3.0,3.43,"Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year."
hotel-california_33157_33182,train,2.8,3.1,2.8,Our instinct was to hide.
Nathans_Bylichka_38817_38837,train,2.44,3.33,3.33,“Didn’t I warn you?”
hotel-california_25973_25999,train,2.82,2.55,3.09,No one else said anything.
602CZL285_86_259,train,3.5,3.0,3.17,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).
116CUL034_2074_2422,train,3.5,3.13,3.12,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions."
hsus4_4933_5015,train,2.8,2.8,3.1,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE."
Nathans_Bylichka_12551_12560,train,3.11,3.11,3.11,What up?”
118CWL050_2436_2656,train,3.0,3.0,3.0,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?"
blog-new-year's-resolutions_5010_5074,train,2.9,3.0,3.1,Self-efficacy did not have a significant effect on goal-setting.
NYTnewswire4_3018_3182,train,3.37,3.63,3.25,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman."""
SemEval_1154,train,3.2,2.9,3.0,Audio Slide Show: A love story lasting 61 years
captured_moments_33844_33911,test,2.9,2.9,2.9,"I heard no voices until Malaquez said, ""Enter."""
captured_moments_5085_5254,train,3.29,3.29,3.43,"Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak."
SemEval_791,train,2.83,2.83,3.0,What's behind the chopper crashes in Iraq
20020731-nyt_10993_11157,train,2.9,3.2,3.0,"Terrorism dominates the agenda, though the possibility of a meeting here between Powell and his North Korean counterpart, Paek Nam Sun, has generated the most news."
