item1_id,item2_id,item1_text,item2_text,item1_valence,item2_valence,item1_arousal,item2_arousal,item1_dominance,item2_dominance,valence_human_1,valence_human_2,valence_human_3,arousal_human_1,arousal_human_2,arousal_human_3,dominance_human_1,dominance_human_2,dominance_human_3
SemEval_763,hotel-california_33157_33182,Secret hotels in Irish countryside,Our instinct was to hide.,2.86,2.8,3.0,3.1,2.86,2.8,Text1,Text1,Text1,Text2,Text1,Text1,Text2,Text1,Text1
SemEval_1155,blog-new-year's-resolutions_1573_1737,Microsoft to release next generation phone,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.36,3.1,3.0,3.3,3.27,3.2,Text1,Text2,Text1,Text2,Text2,Text1,Text1,Text1,Text1
Nathans_Bylichka_45926_45965,How_soon-Lebron-James_2193_2304,"Isis collapsed on the fur, strings cut.","I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",2.6,2.7,3.4,3.3,3.1,2.9,Text2,Text2,Text2,Text2,Text1,Text1,Text1,Text1,Text2
Ant_Robot_19422_19434,Nathans_Bylichka_15318_15334,The Behavior,"“Thanks, Dvorov.",3.0,3.56,2.78,3.0,3.0,3.22,Text2,Text2,Text1,Text2,Text1,Text1,Text2,Text2,Text2
detroit_12208_12263,blog-new-year's-resolutions_1573_1737,"Did we build sane, sustainable, survival shelter homes?",An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.1,3.1,3.0,3.3,3.1,3.2,Text2,Text1,Text2,Text2,Text1,Text2,Text1,Text2,Text1
detroit_12208_12263,How_soon-Lebron-James_2193_2304,"Did we build sane, sustainable, survival shelter homes?","I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",3.1,2.7,3.0,3.3,3.1,2.9,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text1
Ant_Robot_19422_19434,hotel-california_33157_33182,The Behavior,Our instinct was to hide.,3.0,2.8,2.78,3.1,3.0,2.8,Text1,Text1,Text2,Text2,Text1,Text2,Text1,Text1,Text1
Nathans_Bylichka_15318_15334,captured_moments_5085_5254,"“Thanks, Dvorov.","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.56,3.29,3.0,3.29,3.22,3.43,Text1,Text1,Text1,Text2,Text2,Text1,Text2,Text2,Text1
captured_moments_33844_33911,captured_moments_5085_5254,"I heard no voices until Malaquez said, ""Enter.""","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",2.9,3.29,2.9,3.29,2.9,3.43,Text1,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text2
Uprooted_Farming-on-Sand_3238_3353,hotel-california_25973_25999,"Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",No one else said anything.,3.14,2.82,3.0,2.55,3.43,3.09,Text1,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1
blog-new-year's-resolutions_1573_1737,602CZL285_86_259,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,3.1,3.5,3.3,3.0,3.2,3.17,Text2,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text2
116CUL034_2074_2422,SemEval_1154,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",Audio Slide Show: A love story lasting 61 years,3.5,3.2,3.13,2.9,3.12,3.0,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text1,Text1
blog-new-year's-resolutions_1573_1737,116CUL034_2074_2422,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.1,3.5,3.3,3.13,3.2,3.12,Text2,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1
Ant_Robot_19422_19434,hsus4_4933_5015,The Behavior,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.0,2.8,2.78,2.8,3.0,3.1,Text1,Text1,Text1,Text2,Text2,Text1,Text1,Text1,Text2
113CWL018_952_1022,hotel-california_33157_33182,Your contribution last year of helped us get where we are today.,Our instinct was to hide.,3.9,2.8,3.1,3.1,3.4,2.8,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text1,Text1
hotel-california_25973_25999,NYTnewswire4_3018_3182,No one else said anything.,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",2.82,3.37,2.55,3.63,3.09,3.25,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
detroit_12208_12263,captured_moments_33844_33911,"Did we build sane, sustainable, survival shelter homes?","I heard no voices until Malaquez said, ""Enter.""",3.1,2.9,3.0,2.9,3.1,2.9,Text1,Text2,Text1,Text1,Text2,Text2,Text1,Text1,Text2
Anti-Terrorist_4031_4279,SemEval_1154,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",Audio Slide Show: A love story lasting 61 years,2.92,3.2,3.0,2.9,2.91,3.0,Text2,Text2,Text2,Text1,Text1,Text2,Text2,Text2,Text2
blog-new-year's-resolutions_1573_1737,118CWL050_2436_2656,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",3.1,3.0,3.3,3.0,3.2,3.0,Text1,Text1,Text2,Text1,Text1,Text2,Text2,Text1,Text1
SemEval_597,blog-new-year's-resolutions_1573_1737,Stenson defends his title at Dubai,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.12,3.1,3.12,3.3,3.12,3.2,Text2,Text1,Text2,Text2,Text1,Text2,Text2,Text2,Text1
116CUL034_796_978,Anti-Terrorist_4031_4279,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",3.2,2.92,3.0,3.0,3.5,2.91,Text1,Text2,Text1,Text2,Text1,Text2,Text1,Text1,Text1
NYTnewswire7_3260_3393,blog-new-year's-resolutions_5010_5074,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",Self-efficacy did not have a significant effect on goal-setting.,3.0,2.9,3.0,3.0,3.12,3.1,Text1,Text2,Text1,Text2,Text2,Text1,Text1,Text1,Text1
SemEval_1155,SemEval_597,Microsoft to release next generation phone,Stenson defends his title at Dubai,3.36,3.12,3.0,3.12,3.27,3.12,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text2,Text2
Nathans_Bylichka_45926_45965,116CUL034_2074_2422,"Isis collapsed on the fur, strings cut.","Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",2.6,3.5,3.4,3.13,3.1,3.12,Text2,Text1,Text2,Text1,Text1,Text1,Text2,Text2,Text1
SemEval_1155,113CWL018_952_1022,Microsoft to release next generation phone,Your contribution last year of helped us get where we are today.,3.36,3.9,3.0,3.1,3.27,3.4,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text1
SemEval_1155,hsus4_4933_5015,Microsoft to release next generation phone,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.36,2.8,3.0,2.8,3.27,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1
Nathans_Bylichka_29483_29506,blog-new-year's-resolutions_1573_1737,"“Roll up your sleeves,”",An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.0,3.1,3.4,3.3,3.4,3.2,Text2,Text2,Text1,Text2,Text1,Text2,Text1,Text1,Text1
Nathans_Bylichka_38817_38837,hotel-california_33157_33182,“Didn’t I warn you?”,Our instinct was to hide.,2.44,2.8,3.33,3.1,3.33,2.8,Text2,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1
The_Black_Willow_11596_11663,602CZL285_86_259,"Allan crouched over his desk once more, pen in hand and mind blank.",Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,2.7,3.5,3.0,3.0,2.8,3.17,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2
SemEval_763,116CUL034_796_978,Secret hotels in Irish countryside,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",2.86,3.2,3.0,3.0,2.86,3.5,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text2
