[DEBUG] 2025-12-08T09:41:35+0100 | PIL.TiffImagePlugin | L 1024: 259 3 1 b'\x01\x00\x00\x00' b''
[DEBUG] 2025-12-08T09:41:35+0100 | PIL.TiffImagePlugin | L 1024: 262 3 1 b'\x02\x00\x00\x00' b''
[DEBUG] 2025-12-08T09:41:35+0100 | PIL.TiffImagePlugin | L 1024: 273 4 1 b'\x8c\x00\x00\x00' b''
[DEBUG] 2025-12-08T09:41:35+0100 | PIL.TiffImagePlugin | L 1024: 277 3 1 b'\x03\x00\x00\x00' b''
[DEBUG] 2025-12-08T09:41:35+0100 | PIL.TiffImagePlugin | L 1024: 278 4 1 b'\x00\x04\x00\x00' b''
[DEBUG] 2025-12-08T09:41:35+0100 | PIL.TiffImagePlugin | L 1024: 279 4 1 b'\x00\x000\x00' b''
[DEBUG] 2025-12-08T09:41:35+0100 | PIL.TiffImagePlugin | L 1024: 284 3 1 b'\x01\x00\x00\x00' b''
[DEBUG] 2025-12-08T09:41:35+0100 | tests.logging_test | L 62: This is a debug message
[WARNING] 2025-12-08T09:41:35+0100 | tests.logging_test | L 50: This is a warning message
[INFO] 2025-12-08T09:41:35+0100 | tests.logging_test | L 31: This is an info message
[INFO] 2025-12-08T09:41:35+0100 | cubats.slide_collection.segmentation | L 76: Starting segmentation of: nonexistent; using model: model; Parameters: tile_size: (256, 256), normalization: False, inversion: False, plot_results: False
[ERROR] 2025-12-08T09:41:35+0100 | cubats.slide_collection.segmentation | L 95: Input path /var/folders/yj/qnq8dnts7px6gcq6bcw01f_m0000gq/T/tmpfjxrq_hu/nonexistent.png does not exist.
[INFO] 2025-12-08T09:41:35+0100 | cubats.slide_collection.segmentation | L 76: Starting segmentation of: ref_norm; using model: invalid_model; Parameters: tile_size: (256, 256), normalization: False, inversion: False, plot_results: False
[ERROR] 2025-12-08T09:41:35+0100 | cubats.slide_collection.segmentation | L 128: Error loading model /var/folders/yj/qnq8dnts7px6gcq6bcw01f_m0000gq/T/tmpu7bmx4zl/invalid_model.onnx: Model file not found
[INFO] 2025-12-08T09:41:35+0100 | cubats.slide_collection.segmentation | L 76: Starting segmentation of: ref_norm; using model: model; Parameters: tile_size: (256, 256), normalization: False, inversion: False, plot_results: False
[ERROR] 2025-12-08T09:41:35+0100 | cubats.slide_collection.segmentation | L 113: Output path /var/folders/yj/qnq8dnts7px6gcq6bcw01f_m0000gq/T/tmprvscc3ft/invalid_output does not exist.
[INFO] 2025-12-08T09:41:35+0100 | cubats.slide_collection.segmentation | L 76: Starting segmentation of: ref_norm; using model: model; Parameters: tile_size: (256, 256), normalization: False, inversion: False, plot_results: False
