time,channels,gpu,cpu,scipy
1,1,0.038971,0.002438,0.000698
1,2,0.007914,0.002646,0.001358
1,4,0.001068,0.002371,0.002671
1,8,0.001043,0.004110,0.005377
1,12,0.001061,0.008703,0.007971
5,1,0.001074,0.006376,0.003344
5,2,0.001010,0.009064,0.006739
5,4,0.001054,0.015751,0.013377
5,8,0.001197,0.037838,0.027034
5,12,0.001199,0.066645,0.041763
180,1,0.001324,0.435303,0.250236
180,2,0.001205,0.570106,0.502351
180,4,0.001259,0.805437,1.007327
180,8,0.001257,1.290896,2.017688
180,12,0.001281,2.139772,3.026279
300,1,0.001058,0.737175,0.418597
300,2,0.001053,0.948024,0.839463
300,4,0.001087,1.322156,1.683135
300,8,0.001244,2.115006,3.374017
300,12,0.001364,3.547629,5.054017
600,1,0.001063,1.465892,0.840227
600,2,0.001111,1.888490,1.686797
600,4,0.001095,2.641203,3.373638
600,8,0.001245,4.251984,6.886340
600,12,2.466622,7.079701,10.335053
