time,channels,gpu,cpu,scipy
5,1,0.014247,0.033221,0.020940
5,2,0.009029,0.032975,0.041547
5,4,0.001824,0.035984,0.087344
5,8,0.003292,0.034048,0.171197
5,12,0.004809,0.073933,0.251341
60,1,0.004731,0.464397,0.261466
60,2,0.009341,0.438233,0.525599
60,4,0.018447,0.469470,1.006187
60,8,0.053108,0.526290,2.054250
60,12,0.079765,1.030621,3.033699
180,1,0.013415,1.401418,0.777573
180,2,0.039879,1.340833,1.585332
180,4,0.079396,1.430514,3.129619
180,8,0.155036,1.579974,6.161899
180,12,0.231503,3.071292,9.509333
300,1,0.032687,2.341085,1.313260
300,2,0.064894,2.216330,2.598697
300,4,0.128962,2.362212,5.316212
300,8,0.257784,2.613295,10.421657
300,12,0.391072,5.047783,15.418619
600,1,0.064427,4.676215,2.635783
600,2,0.129250,4.567576,5.213626
600,4,0.254230,4.843752,10.236919
600,8,0.508825,5.179805,20.946205
600,12,0.785939,10.173771,31.074807
