,DB_VARIABLE,DB DESCRIPTION,IDS_PATH,IDS DESCRIPTION,DOUBTS/REMARKS,TRANSFORMATION,MAP status (Yes/No),RESOLUTION
1,TOK,Short name of the tokamak that supplied the data,dataset_description/data_entry/machine,Name of the experimental device to which this data is related,,,Yes,
2,TOK_ID,Tokamak ID number,,,,,No,
3,DIVNAME,Divertor configuration,divertors/divertor(0)/name,Name of the divertor,,,Yes,
4,LCUPDATE,Date of the most recent update for any variable listed in the database,,,we keep trace of creation date byt not of last modif date,,Yes,
5,DATE,Date where the shot was taken,dataset_description/pulse_time_begin,"Date and time (UTC) at which the pulse started on the experiment, expressed in a human readable form (ISO 8601) : the format of the string shall be : YYYY-MM-DDTHH:MM:SSZ. Example : 2020-07-24T14:19:00Z","only reasonable choice, though no time; date can be converted, standard hour in the day can be decided when not available. PUT MIDNIGHT FOR TIME (00:00:00)",,Yes,
6,SHOT,Discharge number (shot) from which the data were taken,dataset_description/data_entry/pulse,Pulse number,,,Yes,
7,TIME,Time during the shot at which the data were taken,,,mapped through T2 ,,"No (map as T2, store EXT)",
8,TIME_ID,Integer equivalent of TIME,,,"derived from TIME, so not useful",,,
9,T1,Start of main time average window,summary/time_width,"In case the time-dependent quantities of this IDS are averaged over a time interval, this node is the width of this time interval (empty otherwise). By convention, the time interval starts at time-time_width and ends at time.",T1-T2 = summary/time_width,DBVAR['T2']-DBVAR['T1'],Yes,
10,T2,End of main time average window,summary/time,Generic time {dynamic} [s],^,,Yes,
11,AUXHEAT,Type of auxiliary heating,,,look inside summary/summary/heating_current_drive? There seems to be no option,,PENDING,Discussion
12,PHASE,Phase of the discharge at TIME,,,"H* phases marked with summary/global_quantities/h_mode? Only option of flag, 0 or 1, DB has many options",,PENDING,Discussion
13,HYBRID,Flag indicating whether the data point is in a hybrid mode,,,,,PENDING,Discussion
14,ITB,Flag indicating whether the data point has an internal transport barrier,,,"look inside summary/local/itb? Most tokamaks 'unknown', others 'no'",,PENDING,Discussion
15,ITBTYPE,Flag describing type of ITB,,,,,PENDING,Discussion
16,ELMTYPE,Flag describing type of ELMs,summary/elms/type/value,"ELMs type (I, II, III, ...)","IDS has stored I, II, III (in fact 1,2,3, as the field is of type INT)� database has TYPE-1, TYPE-II� NONE???????","{'NONE':0, 'TYPE-I':1, 'TYPE-II':2, 'TYPE-III':3, 'TYPE-V':5, 'TYPE-1+2':12, 'TYPE-1+5':15, 'TYPE-RF':6, 'UNKNOWN':999}[DBVAR['ELMTYPE']]",Yes,
17,ELMFREQ,ELM frequency,summary/elms/frequency/value,ELMs frequency [Hz],has 13286 empty cells,,Yes,
