sentence	source_id	predicted	actual	kotogram
太陽熱は、他のどのエネルギー源より大きな希望を抱かせるが、それには特に、水が最も不足する地帯が赤道におおむね近く、空気も比較的きれいだという理由もある。	138070	casual	neutral	⌈ˢ太陽熱ᵖn:common_nounʳタイヨウネツ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ他ᵖn:common_noun:adverb-possibleʳタ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢどのᵖatʳドノ⌉⌈ˢエネルギー源ᵖn:common_nounʳエネルギーゲン⌉⌈ˢよりᵖprt:case_particleʳヨリ⌉⌈ˢ大きなᵖatʳオオキナ⌉⌈ˢ希望ᵖn:common_noun:suru-possibleʳキボウ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ抱かᵖv:general:godan-ka:imperfectiveᵇ抱くᵈ抱くʳイダカ⌉⌈ˢせるᵖauxv:e-ichidan-sa:terminalʳセル⌉⌈ˢがᵖprt:conjunctive_particleʳガ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢそれᵖpronʳソレ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ特にᵖadvʳトクニ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ水ᵖn:common_nounʳミズ⌉⌈ˢがᵖprt:case_particleʳガ⌉⌈ˢ最もᵖadvʳモットモ⌉⌈ˢ不足ᵖn:common_noun:pos2-unk2ʳフソク⌉⌈ˢするᵖv:non_self_reliant:sa-irregular:attributiveʳスル⌉⌈ˢ地帯ᵖn:common_nounʳチタイ⌉⌈ˢがᵖprt:case_particleʳガ⌉⌈ˢ赤道ᵖn:common_nounʳセキドウ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢおおむねᵖn:common_noun:adverb-possibleʳオオムネ⌉⌈ˢ近くᵖn:common_noun:adverb-possibleʳチカク⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ空気ᵖn:common_nounʳクウキ⌉⌈ˢもᵖprt:binding_particleʳモ⌉⌈ˢ比較的ᵖn:common_noun:pos2-unk1ʳヒカクテキ⌉⌈ˢきれいᵖshp:generalʳキレイ⌉⌈ˢだᵖauxv:auxv-da:terminalʳダ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢいうᵖv:general:godan-waa:attributiveʳイウ⌉⌈ˢ理由ᵖn:common_nounʳリユウ⌉⌈ˢもᵖprt:binding_particleʳモ⌉⌈ˢあるᵖv:non_self_reliant:godan-ra:terminalʳアル⌉⌈ˢ。ᵖauxs:period⌉
製造業に比べて大きくな遅れをとっている非製造業における生産性向上、それも設備投資の活性化により内外価格差の是正と成長力を確保するというのがベストシナリオだ。	190395	neutral	casual	⌈ˢ製造業ᵖn:common_nounʳセイゾウギョウ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢ比べᵖv:general:e-ichidan-ba:conjunctiveᵇ比べるᵈ比べるʳクラベ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢ大きくᵖadj:general:adjective:conjunctiveᵇ大きいᵈ大きいʳオオキク⌉⌈ˢなᵖadj:non_self_reliant:adjective:stemᵇないᵈないʳナ⌉⌈ˢ遅れᵖn:common_nounʳオクレ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢとっᵖv:general:godan-ra:conjunctive-geminateᵇとるᵈとるʳトッ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢいるᵖv:non_self_reliant:i-ichidan-a:attributiveʳイル⌉⌈ˢ非製造業ᵖn:proper_nounʳヒセイゾウギョウ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢおけᵖv:general:yodan-ka:imperativeᵇおくᵈおくʳオケ⌉⌈ˢるᵖauxv:auxv-ri:attributiveᵇりᵈりʳル⌉⌈ˢ生産性ᵖn:common_nounʳセイサンセイ⌉⌈ˢ向上ᵖn:common_noun:suru-possibleʳコウジョウ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢそれᵖpronʳソレ⌉⌈ˢもᵖprt:binding_particleʳモ⌉⌈ˢ設備投資ᵖn:common_noun:suru-possibleʳセツビトウシ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ活性化ᵖn:common_nounʳカッセイカ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢよりᵖv:general:godan-ra:conjunctiveᵇよるᵈよるʳヨリ⌉⌈ˢ内外価格差ᵖn:common_nounʳナイガイカカクサ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ是正ᵖn:common_noun:suru-possibleʳゼセイ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ成長ᵖn:common_noun:suru-possibleʳセイチョウ⌉⌈ˢ力ᵖsuff:noun_likeʳリョク⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ確保ᵖn:common_noun:suru-possibleʳカクホ⌉⌈ˢするᵖv:non_self_reliant:sa-irregular:terminalʳスル⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢいうᵖv:general:godan-waa:attributiveʳイウ⌉⌈ˢのᵖprt:pre_noun_particleʳノ⌉⌈ˢがᵖprt:case_particleʳガ⌉⌈ˢベストᵖn:common_noun:pos2-unk1⌉⌈ˢシナリオᵖn:common_noun⌉⌈ˢだᵖauxv:auxv-da:terminalʳダ⌉⌈ˢ。ᵖauxs:period⌉
若者はロマンチックな愛に関してはこういうことを認めようが、親の愛にあるこれと同じ激しい（感情的）側面を認めるのは難しいだであろう。	209602	casual	neutral	⌈ˢ若者ᵖn:common_nounʳワカモノ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢロマンチックᵖshp:general⌉⌈ˢなᵖauxv:auxv-da:attributiveᵇだᵈだʳナ⌉⌈ˢ愛ᵖn:common_nounʳアイ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢ関しᵖv:general:sa-irregular:conjunctiveᵇ関するᵈ関するʳカンシ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢこうᵖadvʳコウ⌉⌈ˢいうᵖv:general:godan-waa:attributiveʳイウ⌉⌈ˢことᵖn:common_nounʳコト⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ認めようᵖv:general:e-ichidan-ma:volitional-presumptiveᵇ認めるᵈ認めるʳミトメヨウ⌉⌈ˢがᵖprt:conjunctive_particleʳガ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ親ᵖn:common_nounʳオヤ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ愛ᵖn:common_nounʳアイ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢあるᵖv:non_self_reliant:godan-ra:attributiveʳアル⌉⌈ˢこれᵖpronʳコレ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ同じᵖatʳオナジ⌉⌈ˢ激しいᵖadj:general:adjective:attributiveʳハゲシイ⌉⌈ˢ（ᵖauxs:bracket_openᵇ(ᵈ(ʳキゴウ⌉⌈ˢ感情的ᵖn:common_noun:pos2-unk1ʳカンジョウテキ⌉⌈ˢ）ᵖauxs:bracket_closeᵇ)ᵈ)ʳキゴウ⌉⌈ˢ側面ᵖn:common_nounʳソクメン⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ認めるᵖv:general:e-ichidan-ma:attributiveʳミトメル⌉⌈ˢのᵖprt:pre_noun_particleʳノ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ難しいᵖadj:general:adjective:terminalʳムズカシイ⌉⌈ˢだᵖauxv:auxv-da:terminalʳダ⌉⌈ˢでᵖauxv:auxv-da:conjunctiveᵇだᵈだʳデ⌉⌈ˢあろうᵖv:non_self_reliant:godan-ra:volitional-presumptiveᵇあるᵈあるʳアロウ⌉⌈ˢ。ᵖauxs:period⌉
私はテレビ番組のためにに会った医者にギクリとさせられた。彼は、今アレルギーの症状がないからといって気楽に構えていてはいけないと警告したのだ。	244249	neutral	casual	⌈ˢ私ᵖpronʳワタクシ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢテレビ番組ᵖn:proper_nounʳテレビバングミ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢためᵖn:common_noun:adverb-possibleʳタメ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢ会っᵖv:general:godan-waa:conjunctive-geminateᵇ会うᵈ会うʳアッ⌉⌈ˢたᵖauxv:auxv-ta:attributiveʳタ⌉⌈ˢ医者ᵖn:common_nounʳイシャ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢギクリᵖadv⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢさᵖv:non_self_reliant:sa-irregular:imperfective-saᵇするᵈするʳサ⌉⌈ˢせᵖauxv:e-ichidan-sa:imperfectiveᵇせるᵈせるʳセ⌉⌈ˢられᵖauxv:auxv-reru:conjunctiveᵇられるᵈられるʳラレ⌉⌈ˢたᵖauxv:auxv-ta:terminalʳタ⌉⌈ˢ。ᵖauxs:period⌉⌈ˢ彼ᵖpronʳカレ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ今ᵖn:common_noun:adverb-possibleʳイマ⌉⌈ˢアレルギーᵖn:common_noun⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ症状ᵖn:common_nounʳショウジョウ⌉⌈ˢがᵖprt:case_particleʳガ⌉⌈ˢないᵖadj:non_self_reliant:adjective:terminalʳナイ⌉⌈ˢからᵖprt:conjunctive_particleʳカラ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢいっᵖv:general:godan-waa:conjunctive-geminateᵇいうᵈいうʳイッ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢ気楽ᵖshp:generalʳキラク⌉⌈ˢにᵖauxv:auxv-da:conjunctive-niᵇだᵈだʳニ⌉⌈ˢ構えᵖv:general:e-ichidan-a:conjunctiveᵇ構えるᵈ構えるʳカマエ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢいᵖv:non_self_reliant:i-ichidan-a:conjunctiveᵇいるᵈいるʳイ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢいけᵖv:non_self_reliant:e-ichidan-ka:imperfectiveᵇいけるᵈいけるʳイケ⌉⌈ˢないᵖauxv:auxv-nai:terminalʳナイ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ警告ᵖn:common_noun:suru-possibleʳケイコク⌉⌈ˢしᵖv:non_self_reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢたᵖauxv:auxv-ta:attributiveʳタ⌉⌈ˢのᵖprt:pre_noun_particleʳノ⌉⌈ˢだᵖauxv:auxv-da:terminalʳダ⌉⌈ˢ。ᵖauxs:period⌉
僕は、黄色い粉末をを白い粉末と混ぜて茶色の粉末にしたり、結晶を粉末と混ぜてほこりにしたり、液体を固体と結合させて、泥を作ったりなどあれこれやってみたのだ。	26394	neutral	casual	⌈ˢ僕ᵖpronʳボク⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ黄色いᵖadj:general:adjective:attributiveʳキイロイ⌉⌈ˢ粉末ᵖn:common_nounʳフンマツ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ白いᵖadj:general:adjective:attributiveʳシロイ⌉⌈ˢ粉末ᵖn:common_nounʳフンマツ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ混ぜᵖv:general:e-ichidan-za:conjunctiveᵇ混ぜるᵈ混ぜるʳマゼ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢ茶色ᵖn:common_nounʳチャイロ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ粉末ᵖn:common_nounʳフンマツ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢしᵖv:non_self_reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢたりᵖprt:adverbial_particleʳタリ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ結晶ᵖn:common_noun:suru-possibleʳケッショウ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ粉末ᵖn:common_nounʳフンマツ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ混ぜᵖv:general:e-ichidan-za:conjunctiveᵇ混ぜるᵈ混ぜるʳマゼ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢほこりᵖn:common_nounʳホコリ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢしᵖv:non_self_reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢたりᵖprt:adverbial_particleʳタリ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ液体ᵖn:common_nounʳエキタイ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ固体ᵖn:common_nounʳコタイ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ結合ᵖn:common_noun:suru-possibleʳケツゴウ⌉⌈ˢさᵖv:non_self_reliant:sa-irregular:imperfective-saᵇするᵈするʳサ⌉⌈ˢせᵖauxv:e-ichidan-sa:conjunctiveᵇせるᵈせるʳセ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ泥ᵖn:common_nounʳドロ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ作っᵖv:general:godan-ra:conjunctive-geminateᵇ作るᵈ作るʳツクッ⌉⌈ˢたりᵖprt:adverbial_particleʳタリ⌉⌈ˢなどᵖprt:adverbial_particleʳナド⌉⌈ˢあれこれᵖn:common_noun:adverb-possibleʳアレコレ⌉⌈ˢやっᵖv:non_self_reliant:godan-ra:conjunctive-geminateᵇやるᵈやるʳヤッ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢみᵖv:non_self_reliant:i-ichidan-ma:conjunctiveᵇみるᵈみるʳミ⌉⌈ˢたᵖauxv:auxv-ta:attributiveʳタ⌉⌈ˢのᵖprt:pre_noun_particleʳノ⌉⌈ˢだᵖauxv:auxv-da:terminalʳダ⌉⌈ˢ。ᵖauxs:period⌉
僕は、黄色い粉末を白い粉末と混ぜて茶色の粉末にしたり、結晶を粉末と混ぜてほこりにしたり、液体を固体と結合させて、泥を作ったりなどあれこれやってみたたのだ。	26396	neutral	casual	⌈ˢ僕ᵖpronʳボク⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ黄色いᵖadj:general:adjective:attributiveʳキイロイ⌉⌈ˢ粉末ᵖn:common_nounʳフンマツ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ白いᵖadj:general:adjective:attributiveʳシロイ⌉⌈ˢ粉末ᵖn:common_nounʳフンマツ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ混ぜᵖv:general:e-ichidan-za:conjunctiveᵇ混ぜるᵈ混ぜるʳマゼ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢ茶色ᵖn:common_nounʳチャイロ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ粉末ᵖn:common_nounʳフンマツ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢしᵖv:non_self_reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢたりᵖprt:adverbial_particleʳタリ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ結晶ᵖn:common_noun:suru-possibleʳケッショウ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ粉末ᵖn:common_nounʳフンマツ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ混ぜᵖv:general:e-ichidan-za:conjunctiveᵇ混ぜるᵈ混ぜるʳマゼ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢほこりᵖn:common_nounʳホコリ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢしᵖv:non_self_reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢたりᵖprt:adverbial_particleʳタリ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ液体ᵖn:common_nounʳエキタイ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ固体ᵖn:common_nounʳコタイ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢ結合ᵖn:common_noun:suru-possibleʳケツゴウ⌉⌈ˢさᵖv:non_self_reliant:sa-irregular:imperfective-saᵇするᵈするʳサ⌉⌈ˢせᵖauxv:e-ichidan-sa:conjunctiveᵇせるᵈせるʳセ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ泥ᵖn:common_nounʳドロ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ作っᵖv:general:godan-ra:conjunctive-geminateᵇ作るᵈ作るʳツクッ⌉⌈ˢたりᵖprt:adverbial_particleʳタリ⌉⌈ˢなどᵖprt:adverbial_particleʳナド⌉⌈ˢあれこれᵖn:common_noun:adverb-possibleʳアレコレ⌉⌈ˢやっᵖv:non_self_reliant:godan-ra:conjunctive-geminateᵇやるᵈやるʳヤッ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢみᵖv:non_self_reliant:i-ichidan-ma:conjunctiveᵇみるᵈみるʳミ⌉⌈ˢたᵖauxv:auxv-ta:terminalʳタ⌉⌈ˢたᵖauxv:auxv-ta:attributiveʳタ⌉⌈ˢのᵖprt:pre_noun_particleʳノ⌉⌈ˢだᵖauxv:auxv-da:terminalʳダ⌉⌈ˢ。ᵖauxs:period⌉
これはだれかの言い出したたことかい。	417951	casual	neutral	⌈ˢこれᵖpronʳコレ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢだれᵖpronʳダレ⌉⌈ˢかᵖprt:adverbial_particleʳカ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ言いᵖv:general:godan-waa:conjunctiveᵇ言うᵈ言うʳイイ⌉⌈ˢ出しᵖv:non_self_reliant:godan-sa:conjunctiveᵇ出すᵈ出すʳダシ⌉⌈ˢたᵖauxv:auxv-ta:attributiveʳタ⌉⌈ˢたこᵖn:common_nounʳタコ⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢかᵖprt:adverbial_particleʳカ⌉⌈ˢいᵖprt:sentence_final_particleʳイ⌉⌈ˢ。ᵖauxs:period⌉
こういうとと一部の人たちには、ピンとこないかもしれないが、私はサラリーマンのままでいるほうがいい。収支を償わせることで、頭を悩ます必要がないからだ。	436672	neutral	casual	⌈ˢこうᵖadvʳコウ⌉⌈ˢいうᵖv:general:godan-waa:terminalʳイウ⌉⌈ˢとᵖprt:conjunctive_particleʳト⌉⌈ˢとᵖint:fillerʳト⌉⌈ˢ一部ᵖn:common_noun:adverb-possibleʳイチブ⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ人ᵖn:common_nounʳヒト⌉⌈ˢたちᵖsuff:noun_likeʳタチ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢピンᵖadv⌉⌈ˢとᵖprt:case_particleʳト⌉⌈ˢこᵖv:non_self_reliant:ka-irregular:imperfectiveᵇくるᵈくるʳコ⌉⌈ˢないᵖauxv:auxv-nai:terminalʳナイ⌉⌈ˢかᵖprt:adverbial_particleʳカ⌉⌈ˢもᵖprt:binding_particleʳモ⌉⌈ˢしれᵖv:general:e-ichidan-ra:imperfectiveᵇしれるᵈしれるʳシレ⌉⌈ˢないᵖauxv:auxv-nai:terminalʳナイ⌉⌈ˢがᵖprt:conjunctive_particleʳガ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ私ᵖpronʳワタクシ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢサラリーマンᵖn:common_noun⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢままᵖn:common_noun:adverb-possibleʳママ⌉⌈ˢでᵖauxv:auxv-da:conjunctiveᵇだᵈだʳデ⌉⌈ˢいるᵖv:non_self_reliant:i-ichidan-a:attributiveʳイル⌉⌈ˢほうᵖn:common_nounʳホウ⌉⌈ˢがᵖprt:case_particleʳガ⌉⌈ˢいいᵖadj:non_self_reliant:adjective:terminalʳイイ⌉⌈ˢ。ᵖauxs:period⌉⌈ˢ収支ᵖn:common_nounʳシュウシ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ償わᵖv:general:godan-waa:imperfectiveᵇ償うᵈ償うʳツグナワ⌉⌈ˢせるᵖauxv:e-ichidan-sa:attributiveʳセル⌉⌈ˢことᵖn:common_nounʳコト⌉⌈ˢでᵖauxv:auxv-da:conjunctiveᵇだᵈだʳデ⌉⌈ˢ、ᵖauxs:comma⌉⌈ˢ頭ᵖn:common_nounʳアタマ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢ悩ますᵖv:general:godan-sa:attributiveʳナヤマス⌉⌈ˢ必要ᵖn:common_noun:pos2-unk1ʳヒツヨウ⌉⌈ˢがᵖprt:case_particleʳガ⌉⌈ˢないᵖadj:non_self_reliant:adjective:terminalʳナイ⌉⌈ˢからᵖprt:conjunctive_particleʳカラ⌉⌈ˢだᵖauxv:auxv-da:terminalʳダ⌉⌈ˢ。ᵖauxs:period⌉
けんたろうは眠たかった上ににエンジンが熱くなっていたので運転をやめた。	437042	neutral	casual	⌈ˢけんᵖn:proper_noun:person-nameʳケン⌉⌈ˢたろうᵖauxv:auxv-da:volitional-presumptiveᵇだᵈだʳタロウ⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ眠たかっᵖadj:general:adjective:conjunctive-geminateᵇ眠たいᵈ眠たいʳネムタカッ⌉⌈ˢたᵖauxv:auxv-ta:attributiveʳタ⌉⌈ˢ上ᵖn:common_noun:adverb-possibleʳウエ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢにᵖprt:case_particleʳニ⌉⌈ˢエンジンᵖn:common_noun⌉⌈ˢがᵖprt:case_particleʳガ⌉⌈ˢ熱くᵖadj:general:adjective:conjunctiveᵇ熱いᵈ熱いʳアツク⌉⌈ˢなっᵖv:non_self_reliant:godan-ra:conjunctive-geminateᵇなるᵈなるʳナッ⌉⌈ˢてᵖprt:conjunctive_particleʳテ⌉⌈ˢいᵖv:non_self_reliant:i-ichidan-a:conjunctiveᵇいるᵈいるʳイ⌉⌈ˢたᵖauxv:auxv-ta:attributiveʳタ⌉⌈ˢのᵖprt:pre_noun_particleʳノ⌉⌈ˢでᵖauxv:auxv-da:conjunctiveᵇだᵈだʳデ⌉⌈ˢ運転ᵖn:common_noun:suru-possibleʳウンテン⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢやめᵖv:general:e-ichidan-ma:conjunctiveᵇやめるᵈやめるʳヤメ⌉⌈ˢたᵖauxv:auxv-ta:terminalʳタ⌉⌈ˢ。ᵖauxs:period⌉
日本人は一日三度の食事をとるだ 。	471493	casual	neutral	⌈ˢ日本人ᵖn:common_nounʳニホンジン⌉⌈ˢはᵖprt:binding_particleʳハ⌉⌈ˢ一ᵖn:numeralʳイチ⌉⌈ˢ日ᵖn:common_noun:counter-possibleʳニチ⌉⌈ˢ三ᵖn:numeralʳサン⌉⌈ˢ度ᵖn:common_noun:counter-possibleʳド⌉⌈ˢのᵖprt:case_particleʳノ⌉⌈ˢ食事ᵖn:common_noun:suru-possibleʳショクジ⌉⌈ˢをᵖprt:case_particleʳヲ⌉⌈ˢとるᵖv:general:godan-ra:terminalʳトル⌉⌈ˢだᵖauxv:auxv-da:terminalʳダ⌉⌈ˢ ᵖspaceʳキゴウ⌉⌈ˢ。ᵖauxs:period⌉
