1,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,rarelink_1_formal_criteria,,text,Registry ID the of Individual,,,,,,,,,,,,,
snomedct_422549004,rarelink_1_formal_criteria,"<div class=""rich-text-field-label""><p>Welcome to the <a href=""https://rarelink.readthedocs.io/en/latest/2_rarelink_framework/2_2_rarelink_cdm_instruments.html#id1"">RareLink-CDM Data Capture!</a></p> <ul> <li><span style=""font-weight: normal;"">For detailed guidance, please refer to the </span><a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html"">Manual Data Capture Guide.</a></li> <li><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">R</a><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">areLink</a><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> documentation </a><span style=""font-weight: normal;"">or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">.</a></span></li> <li><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the </span><a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing gu</a><a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">ide</a>.</li> </ul></div>",text,1.1 Pseudonym,,The (local) patient-related Identification code,,,,,,y,,,,,"Variable:
SNOMED:422549004 | Pseudonym |
Choices: n/a
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Patient.identifier.value
- GA4GH Phenopacket Schema v2.0 Element: Individual.id"
snomedct_399423000,rarelink_1_formal_criteria,,text,1.2 Date of Admission,,The date of admission or data capture of the individual,date_ymd,,,,,y,,,,,"Variable:
SNOMED:399423000 | Date of admission (observable entity) |
Choices: n/a
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR IPS: Patient.Extension:DateOfAdmission
- GA4GH Phenopacket Schema v2.0 Element: Individual.time_at_last_encounter"
snomedct_184099003,rarelink_2_personal_information,"<p>RareLink - 2) Personal Information</p> <div class=""rich-text-field-label"" style=""margin: 0; padding: 0;""> <ul> <li style=""font-size: 8pt; line-height: 1.2;""><span style=""font-size: 8pt;"">Tip: For guidance on entering data into the Personal Information sheet, refer to the<a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#personal-information""> Manual Data Capture Guide</a>.</span></li> <li style=""font-size: 8pt;""><span style=""font-size: 8pt; font-weight: normal;"">If you have questions about RareLink, check out the </span><span style=""font-size: 8pt;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">R</a><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">areLink</a><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> documentation</a></span><span style=""font-size: 8pt; font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><span style=""font-size: 8pt;""><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ</a></span><span style=""font-size: 8pt; font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">.</a></span></li> <li style=""font-size: 8pt;""><span style=""font-size: 8pt; font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the </span><span style=""font-size: 8pt;""><a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing </a></span><span style=""font-size: 8pt;""><a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">gu</a><a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">ide</a></span><span style=""font-size: 8pt; font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">.</a></span></li> </ul> </div>",text,2.1 Date of birth,,"The individual's date of birth. If the exact month or day is not allowed to be captured or not known, select the 1st day of the month or the 1st month of the year, respectively.",date_ymd,,,,,y,,,,,"Variable:
SNOMED:184099003 | Date of Birth |
Choices: n/a
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Patient.birthDate
- GA4GH Phenopacket Schema v2.0 Element: Individual.date_of_birth"
snomedct_281053000,rarelink_2_personal_information,,dropdown,2.2 Sex at birth,"snomedct_248152002, Female | snomedct_248153007, Male | snomedct_184115007, Patient sex unknown | snomedct_32570691000036108, Intersex | snomedct_1220561009, Not recorded",The individual's sex that was assigned at birth,,,,,,,,,,,"Variable:
SNOMED:281053000 | Sex at Birth |
Choices: 
- SNOMED:248152002 | Female
- SNOMED:248153007 | Male
- SNOMED:184115007 | Patient sex unknown
- SNOMED:32570691000036108 | Intersex
- SNOMED:1220561009 | Not recorded
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Patient.extension:individual-recordedSexOrGender
- GA4GH Phenopacket Schema v2.0 Element: Individual.sex"
snomedct_1296886006,rarelink_2_personal_information,,dropdown,2.3 Karyotypic Sex,"snomedct_261665006, Unknown | snomedct_734875008, XX | snomedct_734876009, XY | snomedct_80427008, X0 | snomedct_65162001, XXY | snomedct_35111009, XXX | snomedct_403760006, XXYY | snomedct_78317008, XXXY | snomedct_10567003, XXXX | snomedct_48930007, XYY | snomedct_74964007, Other",The chromosomal sex of an individual,,,,,,,,,,,"Variable:
SNOMED:1296886006 | Karyotypic Sex |
Choices: 
- SNOMED:261665006 | Unknown
- SNOMED:734875008 | XX
- SNOMED:734876009 | XY
- SNOMED:80427008 | X0
- SNOMED:65162001 | XXY
- SNOMED:35111009 | XXX
- SNOMED:403760006 | XXYY
- SNOMED:78317008 | XXXY
- SNOMED:10567003 | XXXX
- SNOMED:48930007 | XYY
- SNOMED:74964007 | Other
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Observation.value
- GA4GH Phenopacket Schema v2.0 Element: Individual.karyotypic_sex"
snomedct_263495000,rarelink_2_personal_information,,dropdown,2.4 Gender Identity,"snomedct_446141000124107, Female gender identity | snomedct_446151000124109, Male gender identity | snomedct_394743007, Gender unknown | snomedct_33791000087105, Identifies as nonbinary gender | snomedct_1220561009, Not recorded",The self-assigned gender of the individual,,,,,,,,,,,"Variable:
SNOMED:263495000 | Gender Identity |
Choices: 
- SNOMED:446141000124107 | Female gender identity
- SNOMED:446151000124109 | Male gender identity
- SNOMED:394743007 | Gender unknown
- SNOMED:33791000087105 | Identifies as nonbinary gender
- SNOMED:1220561009 | Not recorded
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Patient.extension:individual-genderIdentity
- GA4GH Phenopacket Schema v2.0 Element: Individual.gender"
snomedct_370159000,rarelink_2_personal_information,,text,2.5 Country of Birth,,The individual's country of birth. Please enter a two or three letter ISO3166 code which you can search in the link provided in the description above.,,,,,,,,,,,"Variable:
SNOMED:370159000 | Country of Birth |
Choices: ISO 3166 - 2 or 3 letter country code
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Patient.extension:patient-birthPlace
- GA4GH Phenopacket Schema v2.0 Element: n/a"
patient_status_date,rarelink_3_patient_status,"<p>RareLink - 3) Patient Status</p> <ul> <li style=""font-size: 8pt;""><span style=""font-size: 8pt;"">Tip: For guidance on entering data into the Patient Status sheet, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#patient-status"">Manual Data Capture Guide</a>.</span></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul>",text,Date of Completion for the Sheet,,,date_ymd,,,,,y,,,,,
snomedct_278844005,rarelink_3_patient_status,,dropdown,3.1 Vital Status,"snomedct_438949009, Alive | snomedct_419099009, Dead | snomedct_399307001, Unknown - Lost in follow-up | snomedct_185924006, Unknown - Opted-out | snomedct_261665006, Unknown - Other Reason",The individual’s general clinical status or vital status.,,,,,,,,,,,"Variable:
SNOMED:278844005 | Vital Status |
Choices: 
- SNOMED:438949009 | Alive
- SNOMED:419099009 | Dead
- SNOMED:399307001 | Unknown - Lost in follow-up
- SNOMED:185924006 | Unknown - Opted-out
- SNOMED:261665006 | Unknown - Other Reason
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Patient.deceased.deceasedBoolean or Observation.value
- GA4GH Phenopacket Schema v2.0 Element: Individual.VitalStatus.status"
