LocationID,from,to,Description,Simple_Lith
WH_009,0,6.085,Weak thinly bedded brown fine-med grained sandy ALLUVIUM,Alluvium
WH_009,6.085,50,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_009A,0,7.018,Weak thinly bedded brown fine-med grained sandy ALLUVIUM,Alluvium
WH_009A,7.018,50,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_010,0,5.984,Stratified gravelly sand ALLUVIUM,Alluvium
WH_010,5.984,50,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_010A,0,0.126,,
WH_010A,0.126,9.303,Stratified gravelly sand ALLUVIUM,Alluvium
WH_010A,9.303,50,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_011,0,0.228,,
WH_011,0.228,28.894,Stratified gravelly sand ALLUVIUM,Alluvium
WH_011,28.894,50,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_011A,0,1.141,,
WH_011A,1.141,27.509,Stratified gravelly sand ALLUVIUM,Alluvium
WH_011A,27.509,50,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_012,0,32.841,Very weak thinly bedded brown medium grained sand to gravel ALLUVIUM with fractures,Alluvium
WH_012,32.841,43.847,Very weak thinly bedded clay-fine sand ALLUVIUM with fractures,Alluvium
WH_012,43.847,173.552,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_012,173.552,300,Very strong folliated green schistose undifferentiated volcanic BASEMENT,Basement
WH_012A,0,34.007,Very weak thinly bedded clay-fine sand ALLUVIUM with fractures,Alluvium
WH_012A,34.007,43.894,Very weak thinly bedded clay-fine sand ALLUVIUM with fractures,Alluvium
WH_012A,43.894,173.646,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_012A,173.646,300,Very strong folliated green schistose undifferentiated volcanic BASEMENT,Basement
WH_014,0,0.738,,
WH_014,0.738,2.328,Very strong medium bedded light grey crystalline LIMESTONE with rare interbeds of dark grey argillaceous LIMESTONE,Limestone
WH_014,2.328,82.569,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_014,82.569,145.128,Very strong folliated green schistose undifferentiated volcanic BASEMENT,Basement
WH_014,145.128,189.121,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_014,189.121,300,Very strong folliated green schistose undifferentiated volcanic BASEMENT,Basement
WH_014A,0,0.235,,
WH_014A,0.235,80.619,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_014A,80.619,139.305,Very strong folliated green schistose undifferentiated volcanic BASEMENT,Basement
WH_014A,139.305,187.495,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_014A,187.495,300,Very strong folliated green schistose undifferentiated volcanic BASEMENT,Basement
WH_015,0,0.622,,
WH_015,0.622,21.583,Very strong medium bedded light grey crystalline LIMESTONE with rare interbeds of dark grey argillaceous LIMESTONE,Limestone
WH_015,21.583,65.14,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
WH_015,65.14,190.392,Med-strong medium bedded brown sandy SILTSTONE with occasional subangular to subrounded pebbles,Siltstone
