id,name,category,definition,unitOfMeasure
1,Ability to represent null values,Format,The degree to which a format allows null values in an attribute.,Yes/No
2,Access security,Datasets,The degree to which access to datasets is restricted.,Grade
3,Accessibility,Data,The ease with which data can be consulted or retrieved.,Grade
4,Accuracy,Data values,The degree of closeness of data values to real values.,%
5,Appropriateness,Format,The degree to which the format is suitable for use.,%
6,Availability,Data,The degree to which data can be consulted or retrieved by data consumers or a process.,Grade
7,Clarity,Metadata,The ease with which data consumers can understand the metadata.,Grade
8,Coherence,Composition of datasets,The degree to which datasets can be combined.,Story
9,Comparability of populations,Data values,The degree to which data values representing two populations have the same definition and are measured in the same way.,Grade
10,Comparability over time,Data values,The degree to which data values over time have the same definition and are measured in the same way.,Grade
11,Completeness (Attributes),Attributes,The degree to which all required attributes in the dataset are present.,%
12,Completeness (Records),Records,The degree to which all required records in the dataset are present.,%
13,Completeness (Data files),Data files,The degree to which all required data files are present.,"%, Number"
14,Completeness (Data values),Data values,The degree to which all required data values are present.,%
15,Completeness (Data values of an attribute),Data values of an attribute,The degree to which all required data values of an attribute are present.,%
16,Completeness (Metadata),Metadata,The degree to which the metadata are fully described.,%
17,"Compliance with laws, regulations, or standards (Data)",Data,"The degree to which data is in accordance with laws, regulations, or standards.",Story
18,"Compliance with laws, regulations, or standards (Composition of datasets)",Composition of datasets,"The degree to which the composition of datasets is in accordance with laws, regulations, or standards.",Story
19,Confidentiality,Data,The degree to which disclosure of data should be restricted to authorized data consumers.,Grade
20,Consistency (Data values),Data values,The degree to which data values of two sets of attributes comply with a rule.,%
21,Consistency (Temporal),Data values of a set of attributes of a dataset at different points in time (temporal consistency),The degree to which the data values of a set of attributes of a dataset at different points in time comply with a rule.,%
22,Consistency (Across Datasets),Data values of two sets of attributes between datasets (across datasets),The degree to which data values of two sets of attributes between datasets comply with a rule.,%
23,Consistency (Cross-Record),Data values of two sets of attributes between records (cross record),The degree to which data values of two sets of attributes between records comply with a rule.,%
24,Consistency (Record-Level),Data values of two sets of attributes within a record (record level),The degree to which data values of two sets of attributes within a record comply with a rule.,%
25,Credibility,Data values,The degree to which data values are regarded as true and believable by data consumers.,Grade
26,Currency,Data values,The degree to which data values are up to date.,%
27,Equivalence,Attributes,The degree to which attributes stored in multiple datasets are conceptually equal.,%
28,Granularity (Attributes),Attributes,The degree to which a single characteristic is subdivided in attributes.,Story
29,Granularity (Records),Records,The degree to which objects are aggregated to records.,Story
30,Integrity,Data values,The degree of absence of data value loss or corruption.,%
31,Interpretability,Data,The degree to which data are in an appropriate language and units of measure.,%
32,Latency,Data,The period of time between the point when the data is created and the point when it is available for use.,Duration
33,Linkability,Data files,The degree to which records of one data file can be correctly coupled with records of another data file.,%
34,Metadata compliance,Data values,"The degree to which the data values are in accordance with their definition, format specification and value domain.",%
35,Naturalness,Composition of datasets,The degree to which the composition of datasets is aligned with the real-world objects that they represent.,Grade
36,Objectivity,Data values,The degree to which the data values are created in an unbiased manner.,Grade
37,Obtainability,Data,The degree to which the data can be acquired.,Grade
38,Plausibility,Data values,The degree to which data values match knowledge of the real world.,Story
39,Portability (Data),Data,"The degree to which data can be installed, replaced or moved from one system to another while preserving the existing quality.",Story
40,Portability (Format),Format,The degree to which a format can be applied in a wide range of situations.,Story
41,Precision (1 - Recording Accuracy),Data values,The degree of accuracy with which data values are recorded or classified.,Depends on data or metadata
42,Precision (2 - Statistical Spread),Data values,The degree to which the error in data values spreads around zero (in statistics).,%
43,Punctuality,Dataset availability,The degree to which the period between the actual and target point of time of availability of a dataset is appropriate.,Duration
44,Reasonability,Data pattern,The degree to which a data pattern meets expectations.,Grade
45,Recoverability,Datasets,The degree to which datasets are preserved in the event of incident.,Story
46,Redundancy,Data,The degree to which logically identical data are stored more than once.,Number
47,Referential integrity,Data files,The degree to which data values of the primary key of one data file and data values of the foreign key of another data file are equal.,%
48,Relevance,Composition of datasets,The degree to which the composition of datasets meets the needs of the data consumer.,Story
49,Reliability,Initial data value,The closeness of the initial data value to the subsequent data value.,%
50,Reproducibility,Dataset,The degree to which a dataset can be recreated with the same data values.,Story
51,Reputation,Data,The degree to which data are trusted or highly regarded in terms of their source or content.,Grade
52,Retention period,Datasets,The period that datasets are available until they can or must be deleted.,Duration
53,Timeliness,Dataset availability,The degree to which the period between the time of creation of the real value and the time that the dataset is available is appropriate.,Duration
54,Traceability,Data,The degree to which data lineage is available.,Story
55,Uniqueness (Objects),Objects,The degree to which objects (of the real world) occur only once as a record in a data file.,%
56,Uniqueness (Records),Records,The degree to which records occur only once in a data file.,%
57,Validity,Data values,The degree to which data values comply with rules.,%
58,Value,Data,The degree to which data provide advantages from their use.,Grade
59,Variety,Data,The degree to which data are available from different data sources.,Story
60,Volatility,Data values,The degree to which data values change over time.,%
