Variable,Units,Speedy,Description
surface_flux.t0,K,t0,Near-surface temperature
shortwave_rad.gse,W/m²/K,gse,Vertical gradient of dry static energy
humidity.qsat,g/kg,qsat,saturation specific humidity
mod_radcon.flux.3,W/m²,flux,Radiative flux in different spectral bands
shortwave_rad.ftop,W/m²,ftop,Net downward flux at top of atmosphere
date.model_year,year,model_datetime,The model's current year
date.model_step,1,-,Model step counter
date.tyear,year,tyear,Fractional time of year
shortwave_rad.zenit,radian,zenit,The zenith angle
condensation.dqlsc,g/kg/s,dqlsc,Specific humidity tendency due to large-scale condensation
convection.se,J/kg,se,dry static energy
shortwave_rad.rsns,W/m²,fsfc,Net downward flux of short-wave radiation at the surface
shortwave_rad.dfabs,W/m²,dfabs,Flux of long-wave radiation absorbed in each atmospheric layer
surface_flux.ustr.1,N/m²,ustr,u-stress
mod_radcon.flux.2,W/m²,flux,Radiative flux in different spectral bands
shortwave_rad.compute_shortwave,bool,compute_shortwave,Flag to compute shortwave radiation
mod_radcon.ablco2,1,ablco2,CO2 absorptivity
mod_radcon.alb_l,1,alb_l,Daily-mean albedo over land (bare-land + snow)
surface_flux.rlus.1,W/m²,slru,Upward flux of long-wave radiation at the surface
surface_flux.tskin,K,tskin,Skin surface temperature
mod_radcon.st4a.0,W/m²,st4a,Blackbody emission from full and half atmospheric levels
mod_radcon.flux.1,W/m²,flux,Radiative flux in different spectral bands
surface_flux.tsfc,K,tsfc,Surface temperature
shortwave_rad.qcloud,1,qcloud,Equivalent specific humidity of clouds
surface_flux.evap.0,g/m²/s,evap,Evaporation
shortwave_rad.cloudstr,1,clstr,Stratiform cloud cover
convection.cbmf,kg/m²/s,cbmf,Cloud-base mass flux
convection.qdif,g/kg,qdif,Excess humidity in convective gridboxes
shortwave_rad.rsds,W/m²,fsfcd,Total downward flux of short-wave radiation at the surface
surface_flux.shf.0,W/m²,shf,Sensible heat flux
surface_flux.shf.2,W/m²,shf,Sensible heat flux
longwave_rad.dfabs,W/m²,dfabs,Flux of long-wave radiation absorbed in each atmospheric layer
surface_flux.rlns,W/m²,-,Net upward flux of long-wave radiation at the surface
mod_radcon.albsfc,1,albsfc,Combined surface albedo (land + sea)
convection.precnv,g/m²/s,precnv,Convective precipitation [g/(m^2 s)]
surface_flux.shf.1,W/m²,shf,Sensible heat flux
mod_radcon.snowc,1,snowc,Effective snow cover (fraction)
surface_flux.hfluxn.0,W/m²,hfluxn,Net downward heat flux
shortwave_rad.cloudc,1,cloudc,Total cloud cover
surface_flux.ustr.2,N/m²,ustr,u-stress
surface_flux.ustr.0,N/m²,ustr,u-stress
mod_radcon.st4a.1,W/m²,st4a,Blackbody emission from full and half atmospheric levels
shortwave_rad.fsol,W/m²,fsol,Solar radiation at the top
mod_radcon.tau2.1,1,tau2,Transmissivity of atmospheric layers
shortwave_rad.ozone,ppmv,ozone,Ozone concentration in lower stratosphere
surface_flux.v0,m/s,v0,Near-surface v-wind
surface_flux.hfluxn.1,W/m²,hfluxn,Net downward heat flux
humidity.rh,1,rh,relative humidity
surface_flux.vstr.0,N/m²,vstr,v-stress
surface_flux.evap.1,g/m²/s,evap,evaporation
mod_radcon.tau2.3,1,tau2,Transmissivity of atmospheric layers
shortwave_rad.stratz,W/m²,stratz,Polar night cooling in the stratosphere
mod_radcon.alb_s,1,alb_s,Daily-mean albedo over sea (open sea + sea ice)
shortwave_rad.icltop,model level index,icltop,Cloud top level
surface_flux.vstr.1,N/m²,vstr,v-stress
mod_radcon.stratc.0,W/m²,stratc,Stratospheric correction term
convection.iptop,model level index,itop,Top of convection (layer index)
surface_flux.vstr.2,N/m²,vstr,v-stress
longwave_rad.ftop,W/m²,ftop,Net downward flux at top of atmosphere
shortwave_rad.ozupp,Dobson Unit,ozupp,Ozone depth in upper stratosphere
surface_flux.rlds,W/m²,slrd,Downward flux of long-wave radiation at the surface
mod_radcon.flux.0,W/m²,flux,Radiative flux in different spectral bands
condensation.dtlsc,K/s,dtlsc,Temperature tendency due to large-scale condensation
surface_flux.rlus.2,W/m²,slru,Upward flux of long-wave radiation at the surface
land_model.stl_am,K,stl_am,Land surface temperature used by the atmospheric model
mod_radcon.tau2.0,1,tau2,Transmissivity of atmospheric layers
condensation.precls,kg/m²/s,precls,Precipitation due to large-scale condensation
mod_radcon.tau2.2,1,tau2,Transmissivity of atmospheric layers
surface_flux.u0,m/s,u0,Near-surface u-wind
surface_flux.rlus.0,W/m²,slru,Upward flux of long-wave radiation at the surface
land_model.stl_lm,K,stl_lm,Land surface temperature calculated by the land model
surface_flux.evap.2,g/m²/s,evap,Evaporation
mod_radcon.stratc.1,W/m²,stratc,Stratospheric correction term
