curie,label,retrieved_at
OBI:0002001,Illumina HiSeq 2000,2025-10-19T07:17:16.974422
OBI:0002002,Illumina HiSeq 2500,2025-10-19T07:17:16.974915
OBI:0002048,Illumina HiSeq 3000,2025-10-19T07:17:16.975460
OBI:0002049,Illumina HiSeq 4000,2025-10-19T07:17:16.975786
OBI:0002129,Illumina HiSeq X Ten,2025-10-19T07:17:16.976177
OBI:0002630,Illumina NovaSeq 6000,2025-10-19T07:17:16.976739
OBI:0002021,Illumina NextSeq 500,2025-10-19T07:17:16.977030
OBI:0003387,Illumina NextSeq 550,2025-10-19T07:17:16.977505
OBI:0002003,Illumina MiSeq,2025-10-19T07:17:16.977695
OBI:0002012,PacBio RS II,2025-10-19T07:17:16.977895
OBI:0002632,PacBio Sequel,2025-10-19T07:17:16.978072
OBI:0002633,PacBio Sequel II,2025-10-19T07:17:16.978269
OBI:0002750,Oxford Nanopore MinION,2025-10-19T07:17:16.978691
OBI:0002751,Oxford Nanopore GridION Mk1,2025-10-19T07:17:16.978877
OBI:0002752,Oxford Nanopore PromethION,2025-10-19T07:17:16.979042
OBI:0000695,chain termination sequencing assay,2025-10-19T07:17:16.979445
OBI:0000702,454 Genome Sequencer FLX,2025-10-19T07:17:16.979624
OBI:0000734,DNA sequencing by synthesis assay,2025-10-19T07:17:16.979829
OBI:0000723,DNA sequencing by ligation assay,2025-10-19T07:17:16.980036
OBI:0002492,case role in case-control study,2025-10-19T07:20:49.458209
OBI:0002493,control role in case-control study,2025-10-19T07:20:49.458579
OBI:0400112,liquid handler,2025-10-29T20:43:07.377940
OBI:0001097,liquid extraction robot,2025-10-29T20:43:07.380898
OBI:0400106,centrifuge,2025-10-29T20:43:07.381330
OBI:0001100,microcentrifuge,2025-10-29T20:43:07.381573
OBI:0000136,incubator,2025-10-29T20:43:07.382155
OBI:0001076,incubator shaker,2025-10-29T20:43:07.382547
OBI:0001058,microplate reader,2025-10-29T20:43:07.383373
OBI:0001059,ELISA microplate reader,2025-10-29T20:43:07.385553
OBI:0001090,multimode microplate reader,2025-10-29T20:43:07.386649
OBI:0001113,microplate washer,2025-10-29T20:43:07.387613
OBI:0001115,ELISA microplate washer,2025-10-29T20:43:07.389510
OBI:0001118,multichannel pipette,2025-10-29T20:43:07.391085
OBI:0000570,spin column,2025-10-29T20:43:07.413832
