Salesforce, Inc.
HYPER API Open Source Software Disclosure (rev. June 18, 2025)

HYPER API may contain one or more of the following open-source software packages. For more information, including copies
of applicable open-source software licenses, or to request copies of open-source software, please contact legal@salesforce.com.

For Instructional Purposes: The list below is organized in a tabular format. The first column on the left identifies the name
or title of the open-source software package that the HYPER API may contain. The second column from the left identifies the
applicable license(s) for the respective software package in that row. The third column from the left contains a text link
to the applicable license for that open-source software package.

Open-Source Software Package; License Information; Version; License Link
abseil; Apache License Version 2.0; 20240722.0; https://github.com/abseil/abseil-cpp/blob/master/LICENSE
arrow; Apache License, Version 2.0; 19.0.1; https://github.com/apache/arrow/blob/main/LICENSE.txt
asmjit; zlib License; cfc9f813cc6ccda; https://github.com/asmjit/asmjit/blob/master/LICENSE.md
bison; GNU General Public License, Version 3, with GCC Runtime Library Exception; 3.8.2; https://www.gnu.org/licenses/gpl-3.0.html
boost c++ libraries; The Boost Software License - Version 1.0; 1.85.0; https://github.com/boostorg/boost/blob/master/LICENSE_1_0.txt
c-ares; The MIT License; 1.34.3; https://github.com/c-ares/c-ares/blob/main/LICENSE.md
com_googlesource_code_re2; The 3-Clause BSD License; 2024-07-02; https://github.com/google/re2/blob/main/LICENSE
concurrentqueue by moodycamel; Simplified BSD License; 1.0.3; https://github.com/cameron314/concurrentqueue/blob/master/LICENSE.md
efficient random sampling; BSD 2-Clause License; 2145fb172bf9901; https://github.com/lorenzhs/sampling/blob/master/LICENSE
flatbuffers; Apache License Version 2.0; 25.2.10; https://github.com/google/flatbuffers/blob/master/LICENSE
geographiclib; The MIT License; 1.5.0; https://sourceforge.net/p/geographiclib/code/ci/release/tree/LICENSE.txt?format=raw
googleapis; Apache License Version 2.0; fe8ba054ad4f7ec; https://github.com/googleapis/googleapis/blob/master/LICENSE
grpc; Apache License Version 2.0; 1.70.1; https://github.com/grpc/grpc/blob/master/LICENSE
icu; Unicode Inc. License Agreement — Data Files and Software; 71.1; https://github.com/unicode-org/icu/blob/main/LICENSE
llvm; Apache License, Version 2.0 with LLVM Exceptions; 19.1.0; https://raw.githubusercontent.com/llvm/llvm-project/main/llvm/LICENSE.TXT
lz4; The 2-Clause BSD License; 1.9.3; https://github.com/lz4/lz4/blob/v1.9.3/lib/LICENSE
musl libc; The MIT License; 1.2.3; https://git.musl-libc.org/cgit/musl/tree/COPYRIGHT
openssl; OpenSSL License and SSLeay License; 3.4.1; https://github.com/openssl/openssl/blob/openssl-3.4.1/LICENSE.txt
postgresql; The PostgreSQL License; 16.2; https://opensource.org/licenses/postgresql
protobuf; 3-Clause BSD License; 29.0; https://github.com/protocolbuffers/protobuf/blob/main/LICENSE
robin-map; The MIT License; 1.0.1; https://github.com/Tessil/robin-map/blob/master/LICENSE
snappy; The 3-Clause BSD License; 1.1.8; https://raw.githubusercontent.com/google/snappy/master/COPYING
zlib; The zlib/libpng License; 1.2.12; https://zlib.net/zlib_license.html
zstd; The 3-Clause BSD License; 1.5.0; https://github.com/facebook/zstd/blob/dev/LICENSE
com.google.guava:failureaccess:1.0.1; Apache License Version 2.0; 1.0.1; https://www.apache.org/licenses/LICENSE-2.0
com.google.guava:guava:30.1-jre; Apache License Version 2.0; 30.1-jre; https://www.apache.org/licenses/LICENSE-2.0
commons-collections:commons-collections:3.2.2; The Apache Software License, Version 2.0; 3.2.2; https://www.apache.org/licenses/LICENSE-2.0
commons-logging:commons-logging:1.2; The Apache Software License, Version 2.0; 1.2; https://www.apache.org/licenses/LICENSE-2.0
net.java.dev.jna:jna:5.14.0; Apache License Version 2.0; 5.14.0; https://www.apache.org/licenses/LICENSE-2.0
net.sf.saxon:saxon-he:12.5; Mozilla Public License Version 2.0; 12.5; https://www.mozilla.org/en-US/MPL/2.0/
org.apache.commons:commons-lang3:3.12.0; The Apache Software License, Version 2.0; 3.12.0; https://www.apache.org/licenses/LICENSE-2.0
org.apache.commons:commons-pool2:2.9.0; The Apache Software License, Version 2.0; 2.9.0; https://www.apache.org/licenses/LICENSE-2.0
org.apache.httpcomponents.client5:httpclient5:5.1.3; Apache License Version 2.0; 5.1.3; https://www.apache.org/licenses/LICENSE-2.0
org.apache.httpcomponents.core5:httpcore5-h2:5.1.3; Apache License Version 2.0; 5.1.3; https://www.apache.org/licenses/LICENSE-2.0
org.apache.httpcomponents.core5:httpcore5:5.1.3; Apache License Version 2.0; 5.1.3; https://www.apache.org/licenses/LICENSE-2.0
org.apache.httpcomponents:httpclient:4.5.13; Apache License Version 2.0; 4.5.13; https://www.apache.org/licenses/LICENSE-2.0
org.apache.httpcomponents:httpcore:4.4.14; Apache License Version 2.0; 4.4.14; https://www.apache.org/licenses/LICENSE-2.0
org.apache.logging.log4j:log4j-api:2.17.1; Apache License Version 2.0; 2.17.1; https://www.apache.org/licenses/LICENSE-2.0
org.apache.logging.log4j:log4j-core:2.17.1; Apache License Version 2.0; 2.17.1; https://www.apache.org/licenses/LICENSE-2.0
org.apache.logging.log4j:log4j-slf4j-impl:2.17.1; Apache License Version 2.0; 2.17.1; https://www.apache.org/licenses/LICENSE-2.0
org.slf4j:slf4j-api:1.7.30; MIT License; 1.7.30; https://opensource.org/licenses/MIT
org.xmlresolver:xmlresolver:5.2.2; Apache License Version 2.0; 5.2.2; https://www.apache.org/licenses/LICENSE-2.0
redis.clients:jedis:3.6.1; The BSD 3-Clause License; 3.6.1; https://opensource.org/licenses/BSD-3-Clause
