SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Hidrométrica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),BACIA,RIO,ÁREA DRENADA (KM2),COTA ZERO ESCALA (M),DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO
19B/01H,A-DOS-CUNHADOS,14,39.152,-9.302,98984.104,243387.146,RIBEIRAS DO OESTE,RIO DE ALCABRICHEL,116.25,-,LISBOA,TORRES VEDRAS,A DOS CUNHADOS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,15-02-2002,-,NÃO,SUSPENSA,
03J/02H,ABELHEIRA CANAL (R.E.),756,41.795,-7.969,213607.36,536212.241,CÁVADO/RIBEIRAS COSTEIRAS,RIBEIRO DAS CAVADAS OU DE ABELHEIRA,2.6,748.3838,VILA REAL,MONTALEGRE,OUTEIRO,-,EDP,-,Limnigráfica,21-12-1972,-,-,-,NÃO,ATIVA,
17H/04H,ABRANTES LOPO,25,39.452,-8.188,195271,275953.774,TEJO,RIO TEJO,61973.8,18.83,SANTARÉM,ABRANTES,ROSSIO AO SUL DO TEJO,-,CCDR-LVT,-,ESCALA,01-10-1911,30-11-1977,-,-,NÃO,EXTINTA,
15G/02H,AGROAL,88,39.679,-8.437,173954.479,301231.167,TEJO,RIO NABÃO,608.49,74.02,SANTARÉM,OURÉM,FORMIGAIS,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,Limnigráfica,08-10-1979,-,20-11-2001,-,SIM,ATIVA,
11H/02H,AGUIEIRA (R.E.),89,40.341,-8.208,193637.802,374748.375,MONDEGO,RIO MONDEGO,3072.41,51.5,VISEU,MORTÁGUA,ALMAÇA,-,EDP,-,LIMNIMÉTRICA,07-01-1957,29-09-1980,-,-,NÃO,EXTINTA,
21O/08H,AJUDA,164,38.778,-7.164,284190.656,201632.177,GUADIANA,RIO GUADIANA,50401.2,-,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,25-07-2001,13-06-2008,NÃO,DESATIVADA,
21O/03H,AJUDA (R.E.),164,38.778,-7.164,284190.656,201632.177,GUADIANA,RIO GUADIANA,50401.2,145.7,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,-,EDP,-,LIMNIMÉTRICA,27-02-1979,-,-,-,NÃO,ATIVA,
26J/01H,ALBERNOA,131,37.853,-7.965,214820.104,98454.354,GUADIANA,RIO COBRES OU RIBEIRA DE TERGES,169.84,122.59,BEJA,BEJA,ALBERNOA,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível com descarregador,LIMNIMÉTRICA COM DESCARREGADOR,10-11-1969,-,20-06-2001,-,SIM,ATIVA,
11H/01A,ALBUFEIRA DA AGUIEIRA (R.E.),74,40.340723246,-8.19670825,194596,374670,MONDEGO,RIO MONDEGO,3069.08,-,VISEU,MORTÁGUA,ALMAÇA,EDP,EDP,Sensores automáticos,ESCALA,01-01-1981,-,18-12-1996,-,SIM,ATIVA,
17M/01A,ALBUFEIRA DA APARTADURA,597,39.347,-7.368,264586.181,264952.694,TEJO,RIBEIRA DAS REVELADAS,8.38,-,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,Autoridade Nacional da Água,Autoridade Nacional da Água,Sensor de nível em albufeira,ESCALA,01-01-1993,-,26-04-2001,-,NÃO,ATIVA,
06S/01A,ALBUFEIRA DA BEMPOSTA (R.E.),363,41.298,-6.471,339319.482,482682.137,DOURO,RIO DOURO,64184.9,-,BRAGANÇA,MOGADOURO,BEMPOSTA,Engie  Portugal,EDP,Sensores automáticos,ESCALA,01-01-1964,-,25-11-1996,-,SIM,ATIVA,
28I/01A,ALBUFEIRA DA BOAVISTA,304,37.503,-8.091,203758.041,59634.885,GUADIANA,BARRANCO DA BOAVISTA,3.54,-,BEJA,ALMODÔVAR,ALMODÔVAR,Autoridade Nacional da Água,CÂMARA MUNICIPAL ALMODÔVAR,Sensor de nível em albufeira,ESCALA,01-01-1981,-,18-09-2001,-,NÃO,SUSPENSA,
14H/01A,ALBUFEIRA DA BOUÇÃ (R.E.),149,39.856,-8.224,192515.798,320587.773,TEJO,RIO ZÊZERE,2601.73,-,CASTELO BRANCO,SERTÃ,CASTELO,EDP,EDP,Sensores automáticos,ESCALA,01-01-1955,-,18-12-1996,-,SIM,ATIVA,
30E/01A,ALBUFEIRA DA BRAVURA,96,37.204,-8.696,149867.747,26352.429,RIBEIRAS DO ALGARVE,RIBEIRO DE ODEÁXERE,76.58,-,FARO,LAGOS,BENSAFRIM,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DO ALVOR,Sensor de nível em albufeira,ESCALA,01-01-1958,-,28-06-2001,-,NÃO,ATIVA,
05O/01A,ALBUFEIRA DA BURGA,324,41.391,-7.05,290586.457,491871.103,DOURO,RIBEIRA DA VILARIÇA,18.58,-,BRAGANÇA,VILA FLOR,TRINDADE,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES DE VALE VILARIÇA,Sensor de nível em albufeira,ESCALA,01-01-1975,-,19-08-2003,-,NÃO,ATIVA,
04H/01A,ALBUFEIRA DA CANIÇADA (R.E.),123,41.652,-8.235,191809.803,520355.44,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,774.66,-,BRAGA,VIEIRA DO MINHO,PARADA DO BOURO,EDP,EDP,Sensores automáticos,ESCALA,01-01-1955,-,25-06-2003,-,SIM,ATIVA,
12M/01A,ALBUFEIRA DA CAPINHA,498,40.212,-7.387,263864.933,360949.378,TEJO,RIBEIRA DAS POLDRAS,6.25,-,CASTELO BRANCO,FUNDÃO,CAPINHA,Autoridade Nacional da Água,INAG/CÂMARA MUNICIPAL DO FUNDÃO,Sensor de nível em albufeira,ESCALA,01-01-1981,-,26-11-2001,-,NÃO,SUSPENSA,
12L/02A,ALBUFEIRA DA COVA DO VIRIATO,1546,40.309,-7.561,248639.107,371340.562,TEJO,RIBEIRA DE CORTES,1.99,-,CASTELO BRANCO,COVILHÃ,CORTES DO MEIO,Autoridade Nacional da Água,SMAS COVILHÃ,Sensor de nível em albufeira,ESCALA,01-01-1962,-,23-01-2002,-,NÃO,SUSPENSA,
05P/01A,ALBUFEIRA DA ESTEVEÍNHA,598,41.446,-6.901,302971.573,498129.9,DOURO,RIBEIRA DE LAMEIRÃO OU DA CAMBA,6.12,-,BRAGANÇA,ALFÂNDEGA DA FÉ,GEBELIM,Autoridade Nacional da Água,COOPERATIVA AGRÍCOLA DE ALFÂNDEGA DA FÉ,Sensor de nível em albufeira,ESCALA,01-01-1970,-,20-08-2003,-,NÃO,ATIVA,
11L/03A,ALBUFEIRA DA LAGOA COMPRIDA (R.E.),1602,40.364,-7.649,241078.493,377381.167,MONDEGO,RIBEIRA DA CANICA OU DA LAGOA OU DA PRAGUEIRA,6.51,-,GUARDA,SEIA,SÃO ROMÃO,EDP,EDP-Hidrocenel,Sensores automáticos,ESCALA,01-01-1958,-,09-04-2017,-,SIM,ATIVA,
13H/05A,ALBUFEIRA DA LOUÇAINHA,610,40.024,-8.312,184701,339472.888,MONDEGO,RIBEIRA DA AZENHA OU RIO CABRAS OU SIMONTE,5.63,-,COIMBRA,PENELA,ESPINHAL,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,29-11-2001,-,NÃO,DESATIVADA,
11H/05A,ALBUFEIRA DA MACIEIRA,-,40.436734,-8.264735,188729.21,385515.75,MONDEGO,RIBEIRA DE MORTAGUA OU DE CRISTINA OU DA FOZ OU DE MOINHOS OU DO LAGOEIRO OU RIBEIRO DO CARVALHAL OU DE PAREDES,-,-,VISEU,MORTÁGUA,-,APA,-,Sensor de nível em albufeira,-,-,-,17-11-2015,-,NÃO,ATIVA,
11K/02A,ALBUFEIRA DA NOSSA SENHORA DO DESTERRO,822,40.401,-7.684,238152,381460,MONDEGO,RIO ALVA OU RIBEIRA DA FERVENÇA,43.78,-,GUARDA,SEIA,SEIA,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,10-12-2001,-,NÃO,SUSPENSA,
03J/01A,ALBUFEIRA DA PARADELA (R.E.),672,41.761,-7.957,215145.241,533064.827,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,216.96,-,VILA REAL,MONTALEGRE,PARADELA,EDP,EDP,Sensores automáticos,ESCALA,01-01-1956,-,27-01-1997,-,SIM,ATIVA,
16K/01A,ALBUFEIRA DA PRACANA (R.E.),84,39.568,-7.816,227541.608,288596.71,TEJO,RIO OCREZA,1413.45,-,SANTARÉM,MAÇÃO,ENVENDOS,EDP,EDP,Sensores automáticos,ESCALA,01-01-1950,-,24-01-1996,-,SIM,ATIVA,
08N/01AE,ALBUFEIRA DA QUEIMADELA,384,41.503,-8.164,197464.363,503740.657,AVE,RIO VIZELA,26.12,-,BRAGA,FAFE,REVELHE,-,CÂMARA MUNICIPAL DE FAFE,-,ESCALA,01-01-1993,-,-,-,NÃO,ATIVA,
12H/01A,ALBUFEIRA DA RAIVA (R.E.),51,40.309,-8.251,190119.779,371225.318,MONDEGO,RIO MONDEGO,3294.37,-,COIMBRA,PENACOVA,PENACOVA,EDP,EDP,Sensores automáticos,ESCALA,01-01-1981,-,18-12-1996,-,SIM,ATIVA,
07K/01A,ALBUFEIRA DA RÉGUA (R.E.),48,41.142,-7.708,232936.588,464195.688,DOURO,RIO DOURO,91030.5,-,VISEU,LAMEGO,PARADA DO BISPO,EDP,EDP,Sensores automáticos,ESCALA,01-01-1973,-,29-01-1997,-,SIM,ATIVA,
02Q/01A,ALBUFEIRA DA SERRA SERRADA,1246,41.953,-6.779,312824.066,555538.502,DOURO,RIBEIRA DAS ANDORINHAS,7.19,-,BRAGANÇA,BRAGANÇA,FRANÇA,Autoridade Nacional da Água,CÂMARA MUNICIPAL DE BRAGANÇA,Sensor de nível em albufeira,ESCALA,01-01-1995,-,18-09-2003,-,SIM,ATIVA,
27L/01A,ALBUFEIRA DA TAPADA GRANDE,128,37.669,-7.507,255227.91,78270.326,GUADIANA,RIO CHANÇA,32.66,-,BEJA,MÉRTOLA,SANTANA DE CAMBAS,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,16-05-2001,-,NÃO,ATIVA,
14O/01A,ALBUFEIRA DA TOULICA,278,39.873,-7.076,290425.554,323314.678,TEJO,RIBEIRA DA TOULICA,26.2,-,CASTELO BRANCO,IDANHA-A-NOVA,ZEBREIRA,Autoridade Nacional da Água,CÂMARA MUNICIPAL DE IDANHA-A-NOVA,Sensor de nível em albufeira,ESCALA,01-01-1979,-,22-11-2001,-,NÃO,SUSPENSA,
07M/02A,ALBUFEIRA DA VALEIRA (R.E.),109,41.167,-7.376,263625.479,465971.64,DOURO,RIO DOURO,85641.4,-,VISEU,SÃO JOÃO DA PESQUEIRA,SÃO JOÃO DA PESQUEIRA,EDP,EDP,Sensores automáticos,ESCALA,01-01-1975,-,25-11-1996,-,SIM,ATIVA,
07K/02A,ALBUFEIRA DA VAROSA (R.E.),256,41.121,-7.775,230039.12,461333.972,DOURO,RIO VAROSA,307.24,-,VISEU,LAMEGO,VALDIGEM,EDP,EDP-HDN,Sensores automáticos,ESCALA,01-01-1934,-,09-04-2017,-,SIM,ATIVA,
22L/01A,ALBUFEIRA DA VIGIA,224,38.538,-7.607,245861.76,174663.055,GUADIANA,RIBEIRA DO VALE DO VASCO,125.32,-,ÉVORA,REDONDO,MONTOITO,Autoridade Nacional da Água,BENEFICIÁRIOS DA OBRA DA VIGIA,Sensor de nível em albufeira,ESCALA,01-01-1981,-,22-06-2001,-,SIM,ATIVA,
29M/04A,ALBUFEIRA DE ALCOUTIM,-,37.4702425,-7.493445556,256584,56193,GUADIANA,BARRANCO DOS LADROES,22,-,FARO,ALCOUTIM,ALCOUTIM,APA,-,Sensor de nível em albufeira,-,-,-,20-04-2015,-,NÃO,SUSPENSA,
07K/05A,ALBUFEIRA DE ARMAMAR (TEMILOBOS),-,41.058043,-7.671978,238664.7,454607.2,DOURO,RIBEIRA DE TEMILOBOS,-,-,VISEU,ARMAMAR,SÃO MARTINHO DAS CHÃS,APA,-,Sensor de nível em albufeira,-,-,-,09-08-2016,-,NÃO,ATIVA,
05R/01A,ALBUFEIRA DE BASTÊLOS,625,41.395,-6.66,323238.561,492747,DOURO,RIBEIRA DE MACEDO,26.12,-,BRAGANÇA,MOGADOURO,PENAS ROIAS,Autoridade Nacional da Água,CAMARA MUNICIPAL DE MOGADOURO,Sensor de nível em albufeira,ESCALA,01-01-1994,-,20-08-2003,-,NÃO,ATIVA,
